Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1u","C_0805_2012Metric",75.000000,-81.800000,0.000000,top
"C3","22u","C_0805_2012Metric",86.800000,-86.237500,90.000000,top
"C4","22u","C_0805_2012Metric",93.000000,-86.487500,-90.000000,top
"C5","10u","C_0805_2012Metric",64.000000,-85.400000,-90.000000,top
"D1","RED","LED_0603_1608Metric",68.012500,-77.600000,0.000000,top
"D2","GREEN","LED_0603_1608Metric",71.800000,-77.600000,180.000000,top
"D3","SS34","D_SMA",90.400000,-81.800000,180.000000,top
"IC1","FS312F-G","SOT23-6",75.000000,-85.200000,90.000000,top
"J2","10118194-0001LF","AMPHENOL_10118194-0001LF",58.100000,-85.300000,-90.000000,top
"L1","22uH","L_0805_2012Metric",84.662500,-82.600000,0.000000,top
"Q1","FS8205","SOT95P280X145-6N",75.000000,-90.000000,0.000000,top
"R1","1K","R_0805_2012Metric",68.012500,-79.745000,180.000000,top
"R2","2K","R_0805_2012Metric",69.600000,-90.400000,0.000000,top
"R3","1K","R_0805_2012Metric",72.112500,-79.800000,180.000000,top
"R4","100","R_0805_2012Metric",79.687500,-81.800000,0.000000,top
"R5","2K","R_0805_2012Metric",78.887500,-87.000000,0.000000,top
"R6","7K5","R_0805_2012Metric",90.200000,-85.600000,90.000000,top
"R7","1K","R_0805_2012Metric",89.200000,-89.200000,0.000000,top
"S1","OS102011MS2QN1","SW_OS102011MS2QN1",80.900000,-78.200000,0.000000,top
"U1","TP4056","SOP127P600X175-9N",69.400000,-85.200000,90.000000,top
"U2","MT3608","SOT95P280X145-6N",83.400000,-86.200000,0.000000,top
